sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
TEST_MERGEIRSNB M 1153	Europe	Belgium						Province du Brabant flamand, Wemmel (Pl. XXXI, pt. 17)°'																					BE																	cailloutis de la base des sables chamois																				
TEST_MERGEIRSNB M 1160	Europe	Belgium						Province du Brabant flamand, Dormaal (Pl. XXXIII, pt. 1)°'																					BE																	Tienen Formation																				
TEST_MERGEIRSNB M 1191	Europe	Belgium						Province du Brabant flamand, Boutersem (Hoogbutsel)°'																					BE																																					
TEST_MERGEIRSNB M 1235bis	Europe	Belgium						Province du Brabant flamand, Dormaal (Pl. XXXIII, pt. 1)°'																					BE																																					
TEST_MERGEIRSNB M 1241	Europe	Belgium						Province du Brabant flamand, Dormaal°'																					BE																	Tienen Formation																				
TEST_MERGEIRSNB M 1321	Europe	Belgium						Dormaal, Vlaamse Brabant Province (Pl. XXXIII, pt. 1)°'																					BE																																					
TEST_MERGEIRSNB M 1324	Europe	Belgium						Dormaal, Vlaamse Brabant Province°'																					BE																	Tienen Formation																				
TEST_MERGEIRSNB M 1329	Europe	Belgium						Dormaal, Vlaamse Brabant Province°'																					BE																	Tienen Formation, niveau DI																				
TEST_MERGEIRSNB M 1331	Europe	Belgium						Vlaamse Brabant Province, Dormaal°'																					BE																	Tienen Formation																				
TEST_MERGEIRSNB M 1343	Europe	Belgium						Dormaal, Vlaamse Brabant Province (Pl. XXXIII, pt. 1)°'																					BE																	Tienen Formation																				
TEST_MERGEIRSNB M 1355	Europe	Belgium						Dormaal, Province du Brabant flamand°'																					BE																																					
TEST_MERGEIRSNB M 1366	Europe	Belgium						Province de Namur, Montaigles, Trou de l'Erable°'																					BE																	2eme niveau																				
TEST_MERGEIRSNB M 1368	Europe	Belgium						Province de Namur, Caverne de Walzin, Trou de la Naulette°'																					BE																	3eme niveau																				
